Timestamp,IMU_ID,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Heading,Button1,Button2,Person
17:05:21,IMU4,2,1014,-50,-37,-30,5,1,-1,1,180.73,0,0,Ziang
17:05:21,IMU5,676,-419,34,-20,-14,-8,4,6,1,188.41,0,0,Ziang
17:05:21,IMU1,26,805,-342,40,2,6,-5,4,13,11.16,0,1,Ziang
17:05:21,IMU2,-298,853,-551,78,-9,5,0,2,0,111.35,0,1,Ziang
17:05:21,IMU3,-289,-930,228,42,22,-1,0,9,1,320.77,0,1,Ziang
17:05:21,IMU4,26,1031,249,-28,-18,10,0,-1,-2,94.89,0,1,Ziang
17:05:21,IMU5,929,-703,-54,-9,-11,-3,2,4,1,184.09,0,1,Ziang
17:05:21,IMU1,188,989,-274,-27,28,5,-5,4,16,337.27,0,1,Ziang
17:05:21,IMU2,-397,845,-465,24,2,5,0,2,1,107.57,0,1,Ziang
17:05:21,IMU3,-202,-992,193,7,-2,1,2,8,-3,259.48,0,1,Ziang
17:05:21,IMU4,-5,971,279,-13,-13,0,-1,-4,-3,44.6,0,1,Ziang
17:05:21,IMU5,825,-672,-94,-11,-6,-1,2,3,2,194.44,0,1,Ziang
17:05:21,IMU1,219,939,-351,1,-3,-4,-4,4,16,327.97,0,1,Ziang
17:05:21,IMU2,-411,797,-533,17,0,0,0,2,1,103.94,0,1,Ziang
17:05:21,IMU3,-126,-975,187,7,0,-4,1,8,-4,270.43,0,1,Ziang
17:05:21,IMU4,-91,885,142,-10,0,0,-2,-3,-7,352.3,0,1,Ziang
17:05:21,IMU5,797,-626,-69,-2,-4,-2,4,4,4,202.23,0,1,Ziang
17:05:21,IMU1,136,887,-448,17,12,0,-3,5,18,353.51,0,1,Ziang
17:05:21,IMU2,-415,708,-431,6,27,-1,0,2,1,107.47,0,1,Ziang
17:05:21,IMU3,-189,-1066,291,15,10,-7,0,10,-4,296.42,0,1,Ziang
17:05:21,IMU4,74,1008,236,6,24,6,-3,-3,-4,17.4,0,1,Ziang
17:05:21,IMU5,790,-628,-63,5,2,-4,3,3,4,209.83,0,1,Ziang
17:05:21,IMU1,173,1028,-439,13,-8,6,-6,6,20,350.63,0,1,Ziang
17:05:21,IMU2,-360,833,-497,4,16,-1,0,2,2,95.77,0,1,Ziang
17:05:21,IMU3,-155,-797,299,-7,13,-8,-2,8,-8,309.75,0,1,Ziang
17:05:21,IMU4,-63,1061,481,33,20,7,-3,-3,-4,15.34,0,1,Ziang
17:05:22,IMU5,1012,-949,-75,28,7,2,2,2,1,189.01,0,1,Ziang
17:05:22,IMU1,162,1009,-374,21,-7,-12,-5,9,21,-2.19,0,1,Ziang
17:05:22,IMU2,-631,850,-349,-86,24,-26,0,3,2,114.46,0,1,Ziang
17:05:22,IMU3,-92,-1075,6,-30,6,-27,-4,9,-3,354.13,0,1,Ziang
17:05:22,IMU4,73,1086,-498,23,-10,-12,-3,0,1,356.64,0,1,Ziang
17:05:22,IMU5,575,-73,97,4,-19,-5,5,6,2,243.85,0,1,Ziang
